AB,H,2B,3B,HR,BB,HBP,IBB,SB,CS,GIDP,SH,SF,BA,OBP,SLG,OPS,TB,RC,TA,ISO,SECA,RC27
120,18,2,0,1,18,1,0,2,0,0,0,1,0.15,0.264,0.192,0.456,23,7.79642857143,0.43137254902,0.042,0.208333333333,2.04372399445
134,46,7,0,8,12,1,2,1,0,0,0,2,0.343,0.396,0.575,0.971,77,32.2401342282,1.03409090909,0.232,0.328358208955,9.67204026846
54,14,4,0,1,6,1,0,0,0,0,0,0,0.259,0.344,0.389,0.733,21,7.85606557377,0.7,0.13,0.240740740741,5.3028442623
126,45,14,1,6,7,1,0,5,2,0,0,0,0.357,0.396,0.627,1.023,79,31.848358209,1.0843373494,0.27,0.349206349206,10.3603092969
14,1,0,0,0,0,0,0,0,0,0,0,0,0.071,0.071,0.071,0.143,1,0.0714285714286,0.0769230769231,0.0,0.0,0.148351648352
119,40,6,1,7,15,3,3,1,0,0,0,0,0.336,0.423,0.58,1.003,69,31.082919708,1.11392405063,0.244,0.378151260504,10.6232763559
32,8,2,0,0,4,0,2,0,0,0,0,1,0.25,0.324,0.313,0.637,10,3.58054054054,0.583333333333,0.063,0.1875,3.86698378378
70,18,5,0,1,6,2,0,0,0,0,0,1,0.257,0.329,0.371,0.701,26,9.41265822785,0.653846153846,0.114,0.2,4.79512777645
111,25,5,2,1,9,0,3,1,1,0,2,0,0.225,0.283,0.333,0.617,37,10.8521311475,0.528735632184,0.108,0.189189189189,3.29221956161
28,9,2,0,0,1,0,0,1,0,0,0,0,0.321,0.345,0.393,0.738,11,4.06206896552,0.684210526316,0.072,0.142857142857,5.7724137931
11,1,0,0,0,1,0,0,0,0,0,1,0,0.091,0.167,0.091,0.258,1,0.273846153846,0.2,0.0,0.0909090909091,0.672167832168
15,1,0,0,0,0,0,0,0,0,0,1,0,0.067,0.067,0.067,0.133,1,0.095,0.0714285714286,0.0,0.0,0.171
14,4,2,0,1,2,0,0,0,0,0,0,0,0.286,0.375,0.643,1.018,9,3.57,1.1,0.357,0.5,9.639
105,28,9,2,3,4,3,0,1,0,0,0,0,0.267,0.313,0.476,0.789,50,16.35625,0.753246753247,0.209,0.257142857143,5.73530844156
65,20,2,0,0,5,0,0,7,3,0,1,0,0.308,0.357,0.338,0.696,22,8.50873239437,0.645833333333,0.03,0.169230769231,4.6884851969
96,24,3,2,6,11,2,1,3,0,0,0,0,0.25,0.339,0.51,0.85,49,18.2216513761,0.902777777778,0.26,0.40625,6.83311926606
13,1,0,0,0,0,0,0,0,1,0,1,1,0.077,0.071,0.077,0.148,1,0.0,0.0,0.0,-0.0769230769231,0.0
62,18,0,1,0,8,1,0,0,3,0,1,0,0.29,0.38,0.323,0.703,20,7.62,0.553191489362,0.033,0.112903225806,4.28625
23,6,2,0,0,1,0,1,0,0,0,0,0,0.261,0.292,0.348,0.639,8,2.33333333333,0.529411764706,0.087,0.130434782609,3.70588235294
72,20,5,1,4,6,0,1,0,0,0,0,1,0.278,0.329,0.542,0.871,39,13.4344303797,0.865384615385,0.264,0.347222222222,6.84395509912
87,26,4,1,4,5,1,0,0,0,0,0,0,0.299,0.344,0.506,0.85,44,15.6765591398,0.819672131148,0.207,0.264367816092,6.93880486515
105,34,3,0,6,31,4,12,2,0,0,0,1,0.324,0.489,0.524,1.013,55,30.6046808511,1.29577464789,0.2,0.514285714286,11.4767553191
